Rgn,PH,SD,PL,GLWR,GT
1,96.7,3.68,28.99,2.24,2.06
1,102.5,5.43,24.82,4.11,2.19
1,104.4,3.94,21.5,3.48,1.95
1,104.6,6.16,22.22,3.19,2.12
1,85.9,4.63,19.06,3.68,2.2
1,102.9,5.31,20.39,3.79,2.13
1,101.5,4.26,25.98,2.32,2.14
1,86.8,4.02,26.02,3.82,2.23
1,106.4,4.91,22.78,4.5,2.06
1,104.3,5.3,25.78,3.98,2.01
1,85.4,6.26,23.59,2.98,1.77
1,101.6,5.94,23.26,3.05,2.02
1,82.8,5.69,28.27,3.85,1.77
1,102.9,4.57,24.35,2.73,1.93
1,109.6,5.02,20.44,3.54,2.15
1,86.3,4.19,26.97,3.59,1.94
1,106.2,6.13,22.76,3.12,2.06
1,93.8,5.12,20.99,2.48,2.05
2,117.9,6.12,20.77,3.08,2.18
2,111.8,5.33,26.06,3.32,1.8
2,104.9,7.71,19.58,3.22,1.9
2,103.9,3.96,27.88,3.04,2.18
2,106.2,5.12,19.4,3.31,2.22
2,98.5,5.7,18.62,2.95,1.98
2,110.3,7.03,19.76,3.64,1.99
2,102.8,5.23,25.56,3.02,1.86
2,95.2,4.69,23.82,3.42,2.08
2,105.2,8.1,25.92,2.94,1.96
2,120.7,5.07,23.44,2.79,2.37
2,128.9,3.64,20.56,3.52,2.06
2,120.1,3.27,19.93,3.21,2.09
2,103.1,6.43,27.74,3.05,2.32
2,109.6,5.38,24.11,3.56,2.26
2,129.9,5.95,24.82,3.65,2.13
2,145.3,4.55,23.82,3.66,2.46
2,106,6.13,15.84,3.82,2.05
2,135.7,4.8,21.55,2.92,2.16
2,144.5,4.11,26.52,3.48,2.31
