"Row","Column","Entry","Yield"
"1","4","1",4.26
"15","5","2",6.45
"15","1","3",3.5
"10","5","4",9.95
"9","2","5",3.98
"13","1","6",5.45
"6","1","7",8.53
"6","4","8",5.16
"7","5","9",4.42
"12","4","10",3.2
"15","2","11",4.05
"12","1","12",5.82
"6","2","13",2.96
"15","3","14",6.55
"9","1","15",7.84
"13","2","16",4.45
"1","3","17",4.56
"12","2","18",5.77
"6","3","19",2.84
"3","5","20",6.05
"4","3","21",4.03
"10","3","22",3.2
"10","4","23",8.08
"7","3","24",6.61
"7","4","25",3.68
"3","4","26",2.7
"13","3","27",4.2
"1","2","28",2.1
"9","3","29",6.68
"10","2","30",4.3
"3","3","31",4.66
"12","3","32",9.56
"4","1","33",7.36
"4","2","34",2.88
"13","5","35",5.9
"13","4","36",6.7
"1","5","37",1.02
"10","1","38",3.8
"3","1","39",5.38
"7","1","40",3.67
"9","5","41",2.57
"4","5","42",2.95
"4","4","43",4.1
"6","5","44",5.47
"1","1","45",2.69
"12","5","46",5.57
"9","4","47",7.84
"3","2","48",3.6
"15","4","49",4.5
"7","2","50",3.89
"2","2","51",2.17
"5","5","51",2.86
"8","4","51",3.4
"11","1","51",3.23
"14","3","51",4.6
"2","5","52",4.28
"5","1","52",3.18
"8","2","52",1.87
"11","3","52",5.52
"14","4","52",7.15
"2","3","53",9.06
"5","4","53",3.29
"8","1","53",5.22
"11","2","53",5.3
"14","5","53",7.24
"2","4","54",2.49
"5","2","54",3.24
"8","3","54",2.57
"11","5","54",5.13
"14","1","54",4.65
"2","1","55",3.39
"5","3","55",6.69
"8","5","55",3.9
"11","4","55",6.44
"14","2","55",6
