"BLOCK","ENTRY","YIELD"
"1","57",6.5
"1","66",4.199999809
"1","42",3.400000095
"1","62",4.900000095
"1","47",3.849999905
"1","19",5.900000095
"1","58",7
"1","64",4.5
"1","37",5.150000095
"1","11",3.75
"1","65",6.25
"1","25",4.800000191
"1","61",4.599999905
"1","45",5.550000191
"1","2",6.5
"1","35",5.300000191
"1","9",4.199999809
"1","63",2.200000048
"1","39",5.300000191
"1","15",3.400000095
"1","29",6.199999809
"2","23",5.5
"2","54",4.050000191
"2","65",5.050000191
"2","6",3.5
"2","63",3.299999952
"2","33",3.900000095
"2","12",3.799999952
"2","31",2.400000095
"2","62",4.5
"2","56",3.049999952
"2","10",1.049999952
"2","60",7.5
"2","66",4.300000191
"2","27",4.900000095
"2","64",5.099999905
"2","44",4.050000191
"2","5",2
"2","21",1.799999952
"2","50",4.900000095
"2","61",3
"2","51",3.200000048
"3","46",5.599999905
"3","66",4.699999809
"3","41",4.699999809
"3","61",4.099999905
"3","3",3.950000048
"3","22",3.450000048
"3","26",4.699999809
"3","64",4
"3","1",6.349999905
"3","13",4.400000095
"3","65",3
"3","17",4.25
"3","20",4.400000095
"3","63",3.349999905
"3","49",3.400000095
"3","14",2.599999905
"3","59",4.400000095
"3","62",3.349999905
"3","28",3.75
"3","8",3.900000095
"3","34",6.599999905
"4","7",4.550000191
"4","65",6.099999905
"4","55",2.200000048
"4","32",4
"4","64",4.599999905
"4","53",3
"4","18",4.349999905
"4","36",3.900000095
"4","48",3.400000095
"4","62",4.599999905
"4","52",2
"4","43",1.5
"4","61",3.25
"4","4",5.599999905
"4","30",4.5
"4","24",5.400000095
"4","63",5.199999809
"4","38",3.700000048
"4","16",8.25
"4","66",3.5
"4","40",7
