"CS","SV","LA","SM","TN","AP","CEC"
14.24,16.24,7.22,7.15,0.099,7.07,12.24
20.22,38.47,7.83,7.302,0.172,5.05,17.22
15.35,12.35,8.01,7.21,0.115,6.06,15.15
24.15,42.15,8.06,7.68,0.1993,4.04,17.2
25.66,43.66,8.26,7.8,0.21,3.03,18.66
12.32,12.88,7.11,7.14,0.08,5.05,11.11
24.36,44.33,8.1,7.73,0.2003,6.06,17.41
24.42,37.27,8.11,7.75,0.2006,5.05,17.47
23.87,41.61,7.24,7.66,0.199,7.07,17.87
19.44,39.42,7.77,7.301,0.167,7.07,15.44
15.25,28.11,7.25,7.16,0.11,5.05,12.12
17.27,20.26,7.99,7.241,0.148,3.03,15.77
23.33,36.26,7.98,7.54,0.1973,7.07,17.33
20.44,38.27,7.1,7.309,0.173,7.07,17.44
17.51,25.66,7.5,7.247,0.194,3.03,16.01
24.58,44.24,8.13,7.6,0.2007,3.03,18.63
17.76,24.24,7.22,7.256,0.157,4.04,16.26
16.16,15.35,7.44,7.231,0.126,4.04,16.16
23.25,40.44,7.95,7.51,0.186,6.06,17.25
19.56,23.38,7.8,7.3018,0.169,4.04,17.56
22.49,38.31,7.87,7.4,0.176,7.07,17.49
20.61,36.36,7.85,7.31,0.184,6.06,17.61
24.63,42.9,8.16,7.63,0.176,5.05,17.68
18.18,41.73,7.63,7.261,0.163,7.07,16.18
23.22,28.28,7.94,7.48,0.188,7.07,17.22
24.97,44.76,8.21,7.71,0.2074,6.06,18.02
17.81,40.05,7.55,7.26,0.096,5.05,16.31
24.74,21.24,8.17,7.64,0.2012,5.05,17.79
18.32,17.37,7.65,7.291,0.165,3.03,16.32
22.55,41.86,7.9,7.43,0.178,7.07,17.55
19.79,26.26,7.81,7.237,0.172,4.04,14.79
22.58,39.39,7.92,7.41,0.178,4.04,17.58
23.32,45.33,7.78,7.53,0.189,6.06,17.32
21.23,26.23,7.49,7.35,0.174,4.04,17.23
24.81,44.66,7.98,7.73,0.2052,7.07,17.86
21.37,24.68,8.16,7.39,0.175,7.07,17.37
22.91,40.91,7.63,7.21,0.185,6.06,17.91
12.76,18.18,7.65,7.169,0.09,7.07,11.55
12.45,21.23,7.13,7.153,0.084,3.03,11.24
15.46,17.88,7.36,7.217,0.113,7.07,14.46
16.18,38.33,7.45,7.238,0.135,4.04,14.14
23.46,26.13,8,7.58,0.1983,7.07,17.46
24.22,42.22,8.09,7.71,0.2001,6.06,16.27
13.13,22.36,7.19,7.168,0.093,4.04,14.05
17.92,15.73,7.6,7.23,0.162,3.03,16.42
23.61,31.31,8.01,7.61,0.1984,6.06,17.61
14.18,15.96,7.21,7.166,0.096,4.04,12.18
19.13,30.3,7.76,7.3,0.166,3.03,17.13
24.92,44.74,8.2,7.68,0.199,6.06,17.97
23.68,32.32,8.03,7.64,0.1989,6.06,17.68
