"GY14","N","P","K"
1678,1,0.1,0.4
4265,1.2,0.1,0.4
2431,1.1,0.1,0.4
2431,1,0.1,0.4
4461,1.2,0.1,0.4
3110,1.2,0.1,0.4
4469,1.2,0.1,0.4
4194,1.2,0.1,0.4
3379,1,0.3,0.3
7132,1.5,0.2,0.3
4359,1,0.3,0.3
3646,1,0.2,0.3
6917,1.5,0.3,0.3
6692,1.5,0.3,0.3
7028,1.6,0.3,0.3
7196,1.6,0.3,0.3
4220,0.9,0.3,0.3
7250,1.7,0.2,0.2
4915,1,0.3,0.3
4185,0.8,0.2,0.3
7463,1.6,0.3,0.3
7367,1.7,0.2,0.2
7860,1.6,0.3,0.3
7624,1.6,0.3,0.3
2830,0.9,0.3,0.3
3705,1.1,0.2,0.2
3280,1,0.3,0.3
2906,0.9,0.3,0.3
4041,1,0.2,0.3
3295,1.1,0.2,0.2
4147,1.2,0.3,0.3
4102,0.1,0.3,0.3
3509,0.9,0.2,0.4
5087,1.3,0.3,0.3
4353,1.1,0.3,0.4
3915,1,0.2,0.4
5122,1.5,0.3,0.3
4660,1.3,0.2,0.3
5150,1.3,0.3,0.3
5730,1.3,0.3,0.3
3744,1,0.2,0.3
5363,1.7,0.2,0.2
4628,1,0.2,0.3
4212,0.9,0.2,0.3
5063,1.7,0.3,0.3
5015,1.8,0.1,0.2
6244,1.6,0.2,0.3
5483,1.7,0.2,0.3
