"KernelNumber","KernelColor","KernelType","KernelCategory","YellowKernel","WhiteKernel","FlintType","SweetType"
1,"white","sweet","white sweet",0,1,0,1
2,"yellow","sweet","yellow sweet",1,0,0,1
3,"yellow","flint","yellow flint",1,0,1,0
4,"yellow","flint","yellow flint",1,0,1,0
5,"yellow","sweet","yellow sweet",1,0,0,1
6,"yellow","flint","yellow flint",1,0,1,0
7,"white","sweet","white sweet",0,1,0,1
8,"yellow","flint","yellow flint",1,0,1,0
9,"yellow","flint","yellow flint",1,0,1,0
10,"yellow","flint","yellow flint",1,0,1,0
11,"yellow","flint","yellow flint",1,0,1,0
12,"yellow","flint","yellow flint",1,0,1,0
13,"yellow","flint","yellow flint",1,0,1,0
14,"yellow","sweet","yellow sweet",1,0,0,1
15,"yellow","flint","yellow flint",1,0,1,0
16,"yellow","sweet","yellow sweet",1,0,0,1
17,"yellow","sweet","yellow sweet",1,0,0,1
18,"yellow","flint","yellow flint",1,0,1,0
19,"yellow","sweet","yellow sweet",1,0,0,1
20,"yellow","flint","yellow flint",1,0,1,0
21,"yellow","flint","yellow flint",1,0,1,0
22,"yellow","flint","yellow flint",1,0,1,0
23,"yellow","sweet","yellow sweet",1,0,0,1
24,"yellow","flint","yellow flint",1,0,1,0
25,"yellow","flint","yellow flint",1,0,1,0
26,"yellow","flint","yellow flint",1,0,1,0
27,"yellow","flint","yellow flint",1,0,1,0
28,"yellow","sweet","yellow sweet",1,0,0,1
29,"yellow","flint","yellow flint",1,0,1,0
30,"yellow","flint","yellow flint",1,0,1,0
31,"white","flint","white flint",0,1,1,0
32,"white","flint","white flint",0,1,1,0
33,"yellow","flint","yellow flint",1,0,1,0
34,"yellow","flint","yellow flint",1,0,1,0
35,"yellow","flint","yellow flint",1,0,1,0
36,"yellow","flint","yellow flint",1,0,1,0
37,"yellow","sweet","yellow sweet",1,0,0,1
38,"yellow","flint","yellow flint",1,0,1,0
39,"yellow","sweet","yellow sweet",1,0,0,1
40,"white","flint","white flint",0,1,1,0
41,"yellow","sweet","yellow sweet",1,0,0,1
42,"yellow","sweet","yellow sweet",1,0,0,1
43,"yellow","flint","yellow flint",1,0,1,0
44,"yellow","flint","yellow flint",1,0,1,0
45,"white","flint","white flint",0,1,1,0
46,"yellow","flint","yellow flint",1,0,1,0
47,"yellow","sweet","yellow sweet",1,0,0,1
48,"white","flint","white flint",0,1,1,0
49,"white","flint","white flint",0,1,1,0
50,"yellow","flint","yellow flint",1,0,1,0
51,"yellow","flint","yellow flint",1,0,1,0
52,"yellow","flint","yellow flint",1,0,1,0
53,"white","flint","white flint",0,1,1,0
54,"yellow","flint","yellow flint",1,0,1,0
55,"white","flint","white flint",0,1,1,0
56,"yellow","sweet","yellow sweet",1,0,0,1
57,"yellow","sweet","yellow sweet",1,0,0,1
58,"white","sweet","white sweet",0,1,0,1
59,"white","flint","white flint",0,1,1,0
60,"yellow","flint","yellow flint",1,0,1,0
61,"white","flint","white flint",0,1,1,0
62,"yellow","flint","yellow flint",1,0,1,0
63,"yellow","flint","yellow flint",1,0,1,0
64,"yellow","flint","yellow flint",1,0,1,0
65,"white","flint","white flint",0,1,1,0
66,"yellow","sweet","yellow sweet",1,0,0,1
67,"yellow","flint","yellow flint",1,0,1,0
68,"white","flint","white flint",0,1,1,0
69,"yellow","flint","yellow flint",1,0,1,0
70,"yellow","flint","yellow flint",1,0,1,0
71,"yellow","flint","yellow flint",1,0,1,0
72,"yellow","sweet","yellow sweet",1,0,0,1
73,"white","flint","white flint",0,1,1,0
74,"yellow","flint","yellow flint",1,0,1,0
75,"yellow","flint","yellow flint",1,0,1,0
76,"yellow","flint","yellow flint",1,0,1,0
77,"yellow","flint","yellow flint",1,0,1,0
78,"yellow","flint","yellow flint",1,0,1,0
79,"yellow","sweet","yellow sweet",1,0,0,1
80,"yellow","sweet","yellow sweet",1,0,0,1
81,"yellow","sweet","yellow sweet",1,0,0,1
82,"yellow","flint","yellow flint",1,0,1,0
83,"yellow","flint","yellow flint",1,0,1,0
84,"white","flint","white flint",0,1,1,0
85,"yellow","flint","yellow flint",1,0,1,0
86,"white","sweet","white sweet",0,1,0,1
87,"yellow","flint","yellow flint",1,0,1,0
88,"yellow","sweet","yellow sweet",1,0,0,1
89,"yellow","flint","yellow flint",1,0,1,0
90,"yellow","flint","yellow flint",1,0,1,0
91,"yellow","flint","yellow flint",1,0,1,0
92,"white","flint","white flint",0,1,1,0
93,"yellow","flint","yellow flint",1,0,1,0
94,"yellow","flint","yellow flint",1,0,1,0
95,"yellow","flint","yellow flint",1,0,1,0
96,"yellow","flint","yellow flint",1,0,1,0
97,"yellow","flint","yellow flint",1,0,1,0
98,"yellow","flint","yellow flint",1,0,1,0
99,"white","flint","white flint",0,1,1,0
100,"yellow","sweet","yellow sweet",1,0,0,1
101,"yellow","sweet","yellow sweet",1,0,0,1
102,"yellow","flint","yellow flint",1,0,1,0
103,"yellow","flint","yellow flint",1,0,1,0
104,"yellow","flint","yellow flint",1,0,1,0
105,"yellow","flint","yellow flint",1,0,1,0
106,"yellow","flint","yellow flint",1,0,1,0
107,"yellow","flint","yellow flint",1,0,1,0
108,"yellow","flint","yellow flint",1,0,1,0
109,"yellow","flint","yellow flint",1,0,1,0
110,"yellow","flint","yellow flint",1,0,1,0
111,"white","sweet","white sweet",0,1,0,1
112,"yellow","flint","yellow flint",1,0,1,0
113,"yellow","flint","yellow flint",1,0,1,0
114,"yellow","flint","yellow flint",1,0,1,0
115,"yellow","flint","yellow flint",1,0,1,0
116,"white","flint","white flint",0,1,1,0
117,"yellow","flint","yellow flint",1,0,1,0
118,"yellow","flint","yellow flint",1,0,1,0
119,"yellow","flint","yellow flint",1,0,1,0
120,"yellow","flint","yellow flint",1,0,1,0
121,"yellow","flint","yellow flint",1,0,1,0
122,"yellow","sweet","yellow sweet",1,0,0,1
123,"white","flint","white flint",0,1,1,0
124,"yellow","sweet","yellow sweet",1,0,0,1
125,"yellow","flint","yellow flint",1,0,1,0
126,"yellow","flint","yellow flint",1,0,1,0
127,"yellow","flint","yellow flint",1,0,1,0
128,"yellow","flint","yellow flint",1,0,1,0
129,"yellow","flint","yellow flint",1,0,1,0
130,"yellow","sweet","yellow sweet",1,0,0,1
131,"yellow","sweet","yellow sweet",1,0,0,1
132,"white","flint","white flint",0,1,1,0
133,"yellow","flint","yellow flint",1,0,1,0
134,"yellow","flint","yellow flint",1,0,1,0
135,"yellow","flint","yellow flint",1,0,1,0
