"Rep","Nitrogen","Variety","Yield"
"1","0","C4-63",3464
"2","0","C4-63",2944
"3","0","C4-63",3142
"1","60","C4-63",4768
"2","60","C4-63",6004
"3","60","C4-63",5556
"1","90","C4-63",6244
"2","90","C4-63",5724
"3","90","C4-63",6014
"1","120","C4-63",5792
"2","120","C4-63",5880
"3","120","C4-63",6370
"1","150","C4-63",7080
"2","150","C4-63",6662
"3","150","C4-63",6320
"1","180","C4-63",5594
"2","180","C4-63",7122
"3","180","C4-63",5480
"1","0","IR5",3944
"2","0","IR5",5314
"3","0","IR5",3660
"1","60","IR5",6502
"2","60","IR5",5858
"3","60","IR5",5586
"1","90","IR5",6008
"2","90","IR5",6127
"3","90","IR5",6642
"1","120","IR5",7139
"2","120","IR5",6982
"3","120","IR5",6564
"1","150","IR5",7682
"2","150","IR5",6594
"3","150","IR5",6576
"1","180","IR5",6228
"2","180","IR5",7387
"3","180","IR5",6006
"1","0","IR8",4430
"2","0","IR8",4478
"3","0","IR8",3850
"1","60","IR8",5418
"2","60","IR8",5166
"3","60","IR8",6432
"1","90","IR8",6076
"2","90","IR8",6420
"3","90","IR8",6704
"1","120","IR8",6462
"2","120","IR8",7056
"3","120","IR8",6680
"1","150","IR8",7290
"2","150","IR8",7848
"3","150","IR8",7552
"1","180","IR8",8452
"2","180","IR8",8832
"3","180","IR8",8818
"1","0","Peta",4126
"2","0","Peta",4482
"3","0","Peta",4836
"1","60","Peta",5192
"2","60","Peta",4604
"3","60","Peta",4652
"1","90","Peta",4546
"2","90","Peta",5744
"3","90","Peta",4146
"1","120","Peta",2774
"2","120","Peta",5036
"3","120","Peta",3638
"1","150","Peta",1414
"2","150","Peta",1960
"3","150","Peta",2766
"1","180","Peta",2248
"2","180","Peta",1380
"3","180","Peta",2014
