"REP","NITROGEN","VARIETY","GRNYLD"
"1","0","V1",2373
"1","60","V1",4076
"1","120","V1",7254
"1","0","V2",4007
"1","60","V2",5630
"1","120","V2",7053
"1","0","V3",2620
"1","60","V3",4676
"1","120","V3",7666
"1","0","V4",2726
"1","60","V4",4838
"1","120","V4",6881
"1","0","V5",4447
"1","60","V5",5549
"1","120","V5",6880
"1","0","V6",2572
"1","60","V6",3896
"1","120","V6",1556
"2","0","V1",3958
"2","60","V1",6431
"2","120","V1",6808
"2","0","V2",5795
"2","60","V2",7334
"2","120","V2",8284
"2","0","V3",4508
"2","60","V3",6672
"2","120","V3",7328
"2","0","V4",5630
"2","60","V4",7007
"2","120","V4",7735
"2","0","V5",3276
"2","60","V5",5340
"2","120","V5",5080
"2","0","V6",3724
"2","60","V6",2822
"2","120","V6",2706
"3","0","V1",4384
"3","60","V1",4889
"3","120","V1",8582
"3","0","V2",5001
"3","60","V2",7177
"3","120","V2",6297
"3","0","V3",5621
"3","60","V3",7019
"3","120","V3",8611
"3","0","V4",3821
"3","60","V4",4816
"3","120","V4",6667
"3","0","V5",4582
"3","60","V5",6011
"3","120","V5",6076
"3","0","V6",3326
"3","60","V6",4425
"3","120","V6",3214
