"REP","PLANTING","NITROGEN","VARIETY","YIELD"
"I","Broadcast","0","V1",2373
"I","Broadcast","0","V2",4007
"I","Broadcast","0","V3",2620
"I","Broadcast","0","V4",2726
"I","Broadcast","0","V5",4447
"I","Broadcast","0","V6",2572
"I","Broadcast","60","V1",4076
"I","Broadcast","60","V2",5630
"I","Broadcast","60","V3",4676
"I","Broadcast","60","V4",4838
"I","Broadcast","60","V5",5549
"I","Broadcast","60","V6",3896
"I","Broadcast","120","V1",7254
"I","Broadcast","120","V2",7053
"I","Broadcast","120","V3",7666
"I","Broadcast","120","V4",6881
"I","Broadcast","120","V5",6880
"I","Broadcast","120","V6",1556
"II","Broadcast","0","V1",3958
"II","Broadcast","0","V2",5795
"II","Broadcast","0","V3",4508
"II","Broadcast","0","V4",5630
"II","Broadcast","0","V5",3276
"II","Broadcast","0","V6",3724
"II","Broadcast","60","V1",6431
"II","Broadcast","60","V2",7334
"II","Broadcast","60","V3",6672
"II","Broadcast","60","V4",7007
"II","Broadcast","60","V5",5340
"II","Broadcast","60","V6",2822
"II","Broadcast","120","V1",6808
"II","Broadcast","120","V2",8284
"II","Broadcast","120","V3",7328
"II","Broadcast","120","V4",7735
"II","Broadcast","120","V5",5080
"II","Broadcast","120","V6",2706
"III","Broadcast","0","V1",4384
"III","Broadcast","0","V2",5001
"III","Broadcast","0","V3",5621
"III","Broadcast","0","V4",3821
"III","Broadcast","0","V5",4582
"III","Broadcast","0","V6",3326
"III","Broadcast","60","V1",4889
"III","Broadcast","60","V2",7177
"III","Broadcast","60","V3",7019
"III","Broadcast","60","V4",4816
"III","Broadcast","60","V5",6011
"III","Broadcast","60","V6",4425
"III","Broadcast","120","V1",8582
"III","Broadcast","120","V2",6297
"III","Broadcast","120","V3",8611
"III","Broadcast","120","V4",6667
"III","Broadcast","120","V5",6076
"III","Broadcast","120","V6",3214
"I","Transplanted","0","V1",2293
"I","Transplanted","0","V2",4035
"I","Transplanted","0","V3",4527
"I","Transplanted","0","V4",5274
"I","Transplanted","0","V5",4655
"I","Transplanted","0","V6",4535
"I","Transplanted","60","V1",3085
"I","Transplanted","60","V2",3728
"I","Transplanted","60","V3",4946
"I","Transplanted","60","V4",4878
"I","Transplanted","60","V5",4646
"I","Transplanted","60","V6",4627
"I","Transplanted","120","V1",6661
"I","Transplanted","120","V2",6440
"I","Transplanted","120","V3",8632
"I","Transplanted","120","V4",6545
"I","Transplanted","120","V5",6995
"I","Transplanted","120","V6",5374
"II","Transplanted","0","V1",3528
"II","Transplanted","0","V2",4885
"II","Transplanted","0","V3",4866
"II","Transplanted","0","V4",6200
"II","Transplanted","0","V5",2796
"II","Transplanted","0","V6",5457
"II","Transplanted","60","V1",7502
"II","Transplanted","60","V2",7424
"II","Transplanted","60","V3",7611
"II","Transplanted","60","V4",6928
"II","Transplanted","60","V5",5006
"II","Transplanted","60","V6",4461
"II","Transplanted","120","V1",6353
"II","Transplanted","120","V2",7648
"II","Transplanted","120","V3",7101
"II","Transplanted","120","V4",9838
"II","Transplanted","120","V5",4486
"II","Transplanted","120","V6",7218
"III","Transplanted","0","V1",2538
"III","Transplanted","0","V2",4583
"III","Transplanted","0","V3",3628
"III","Transplanted","0","V4",4038
"III","Transplanted","0","V5",3739
"III","Transplanted","0","V6",3537
"III","Transplanted","60","V1",4362
"III","Transplanted","60","V2",5377
"III","Transplanted","60","V3",6142
"III","Transplanted","60","V4",4829
"III","Transplanted","60","V5",4666
"III","Transplanted","60","V6",4774
"III","Transplanted","120","V1",7759
"III","Transplanted","120","V2",5736
"III","Transplanted","120","V3",7416
"III","Transplanted","120","V4",7253
"III","Transplanted","120","V5",6564
"III","Transplanted","120","V6",6369
