"TenureStatus","FarmerClassif"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","nonadopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"share-rent","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","nonadopter"
"owner","nonadopter"
"share-rent","adopter"
"fixed-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"share-rent","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","nonadopter"
"fixed-rent","adopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","nonadopter"
"share-rent","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"fixed-rent","adopter"
"fixed-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"fixed-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","nonadopter"
"owner","nonadopter"
"owner","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","nonadopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"fixed-rent","adopter"
"owner","nonadopter"
"share-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
"fixed-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"share-rent","nonadopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"owner","adopter"
"share-rent","nonadopter"
"owner","adopter"
"share-rent","adopter"
"share-rent","adopter"
"owner","adopter"
"owner","adopter"
