"Season","Rep","NitrogenRate","GrainYield"
"Dry","I","0",4.891
"Dry","I","60",6.009
"Dry","I","90",6.712
"Dry","I","120",6.458
"Dry","I","150",5.683
"Wet","I","0",4.999
"Wet","I","60",6.351
"Wet","I","90",6.071
"Wet","I","120",4.818
"Wet","I","150",3.436
"Dry","II","0",2.577
"Dry","II","60",6.625
"Dry","II","90",6.693
"Dry","II","120",6.675
"Dry","II","150",6.868
"Wet","II","0",3.503
"Wet","II","60",6.316
"Wet","II","90",5.969
"Wet","II","120",4.024
"Wet","II","150",4.047
"Dry","III","0",4.541
"Dry","III","60",5.672
"Dry","III","90",6.799
"Dry","III","120",6.636
"Dry","III","150",5.692
"Wet","III","0",5.356
"Wet","III","60",6.582
"Wet","III","90",5.893
"Wet","III","120",5.813
"Wet","III","150",3.74
