"group","fs45","fw","syp","sl"
"1",7,1.85,147.7,16.86
"1",7,1.86,136.86,16.77
"1",6,1.83,149.97,16.35
"1",7,1.89,172.33,18.26
"1",7,1.8,144.46,17.9
"1",6,1.88,138.3,16.95
"1",7,1.89,150.58,18.15
"1",7,1.79,140.99,18.86
"1",6,1.85,140.57,18.39
"1",7,1.84,138.33,18.58
"2",6.3,2.58,224.26,18.18
"2",6.7,2.74,197.5,18.07
"2",7.3,2.58,230.34,19.07
"2",8,2.62,217.05,19
"2",8,2.68,233.84,18
"2",8,2.56,216.52,18.49
"2",7.7,2.34,211.93,17.45
"2",7.7,2.67,210.37,18.97
"2",7,2.45,199.87,19.31
"2",7.3,2.44,214.3,19.36
