"sn","pp","ph","ngl","yld"
1,142,0.525,8.2,2.47
2,143,0.64,9.5,4.76
3,107,0.66,9.3,3.31
4,78,0.66,7.5,1.97
5,100,0.46,5.9,1.34
6,86.5,0.345,6.4,1.14
7,103.5,0.86,6.4,1.5
8,155.99,0.33,7.5,2.03
9,80.88,0.285,8.4,2.54
10,109.77,0.59,10.6,4.9
11,61.77,0.265,8.3,2.91
12,79.11,0.66,11.6,2.76
13,155.99,0.42,8.1,0.59
14,61.81,0.34,9.4,0.84
15,74.5,0.63,8.4,3.87
16,97,0.705,7.2,4.47
17,93.14,0.68,6.4,3.31
18,37.43,0.665,8.4,1.57
19,36.44,0.275,7.4,0.53
20,51,0.28,7.4,1.15
21,104,0.28,9.8,1.08
22,49,0.49,4.8,1.83
23,54.66,0.385,5.5,0.76
24,55.55,0.265,5,0.43
25,88.44,0.98,5,4.08
26,99.55,0.645,9.6,2.83
27,63.99,0.635,5.6,2.57
28,101.77,0.29,8.2,7.42
29,138.66,0.72,9.9,2.62
30,90.22,0.63,8.4,2
31,76.92,1.25,7.3,1.99
32,126.22,0.58,6.9,1.36
33,80.36,0.605,6.8,0.68
34,150.23,1.19,8.8,5.36
35,56.5,0.355,9.7,2.12
36,136,0.59,10.2,4.16
37,144.5,0.61,9.8,3.12
38,157.33,0.605,8.8,2.07
39,91.99,0.38,7.7,1.17
40,121.5,0.55,7.7,3.62
41,64.5,0.32,5.7,0.67
42,116,0.455,6.8,3.05
43,77.5,0.72,11.8,1.7
44,70.43,0.625,10,1.55
45,133.77,0.535,9.3,3.28
46,89.99,0.49,9.8,2.69
