"SITE","FIELD_NO","Number","VAR","DH","WH","WM","LF","RT","BS","SHB","NB","LB","BLB","WA","WB"
"A",1,1,"HYB1",1.11,0.76,19.2,53.89,4,0,4,0,0,0,19.03,78.57
"A",2,2,"HYB1",2.78,0.59,19.12,57.84,0,0,0,0,0,8.05,19.73,98.81
"A",3,3,"HYB1",0.98,0,3.12,17.4,12.5,0,12.5,0,0,13.78,64.86,91.83
"A",4,4,"MV1",0,0,142.67,57.67,0,80.65,6.76,90,230,0,0,0
"A",5,5,"HYB1",4,8,584,839,0,0,15.38,15.44,86,200,12,49
"A",6,6,"MV1",0,0,4.5,5.5,0,12.41,15.7,40.1,120,0,200.65,940.73
"A",7,7,"HYB1",2.08,1.19,21.71,29.61,0,0,0,0,0,0,66.13,243.2
"A",8,8,"HYB1",1.7,0.35,14.81,72.34,10.4,0,10.4,0,0,0,64.94,258.72
"A",9,9,"HYB1",1.98,1.35,27.53,0,7.14,0,7.14,0,0,0,58.11,188.32
"A",10,10,"HYB1",2.3,1.33,17.27,83.86,0,0,0,0,0,0,53.63,200.05
"A",11,11,"HYB1",1.76,1.05,13.56,25.62,12.5,0,12.5,0,0,0,57.41,180.91
"A",12,12,"HYB1",0,0,0,4.44,7.69,0,7.69,0,0,0,55.55,187.01
"A",13,13,"HYB1",3.24,4.02,30.14,10.94,0,0,0,0,0,0,58.52,189.14
"A",14,14,"HYB1",1.27,0.69,27.69,63,0,0,0,0,0,0,48.74,167.1
"A",15,15,"HYB1",1.24,1.08,47.12,9.7,0,0,0,0,0,0,52.18,168.87
"A",16,16,"HYB1",1.05,1,20.48,60.69,0,0,0,0,0,17.21,35.55,188.48
"A",17,17,"HYB1",0,0,3.21,85,0,0,0,0,0,9.9,15.67,152.4
"A",18,18,"HYB1",2.73,2.23,9.37,80.72,0,0,0,0,0,0,66.83,157.45
"A",19,19,"HYB1",2.63,2.32,10.73,89.63,0,0,0,0,0,0,67.72,148.54
"A",20,20,"HYB1",4.08,1.99,58.38,29.91,0,0,0,0,0,0,60.89,169.26
"A",21,21,"HYB1",3.26,2.55,15.06,27.12,14,0,14,0,0,0,58.91,182.41
"A",22,22,"HYB1",2.61,2.26,20.7,55.39,5.5,0,5.5,0,0,0,10.63,80.07
"A",23,23,"HYB1",0,0,0,5.94,9.19,0,9.19,0,0,0,57.05,188.51
"A",24,24,"HYB1",4.28,2.09,20.62,79.34,0,0,0,0,0,9.55,21.23,100.31
"A",25,25,"HYB1",4.74,5.52,31.64,12.44,0,0,0,0,0,0,60.02,190.64
"A",26,26,"HYB1",2.48,0,4.62,18.9,14,0,14,0,0,15.28,66.36,93.33
"A",27,27,"HYB1",2.77,2.19,29.19,64.5,0,0,0,0,0,0,50.24,168.6
"A",28,28,"HYB1",3.83,0,3.76,5.37,0,0,0,0,0,0,60.19,174.66
"A",29,29,"HYB1",2.74,2.58,48.62,11.2,0,0,0,0,0,0,53.68,170.37
"A",30,30,"HYB1",4.61,0,11.52,81.97,0,0,0,0,0,0,55.43,183.19
"A",31,31,"HYB1",2.55,2.5,21.98,62.19,0,0,0,0,0,18.71,37.05,189.98
"A",32,32,"HYB1",3.65,0,14.62,72.7,0,0,0,0,0,0,70.81,286.99
"A",33,33,"HYB1",0,0,14.71,86.5,0,0,0,0,0,11.4,17.17,153.9
"A",34,34,"HYB1",3.58,2.69,23.21,31.11,0,0,0,0,0,0,67.63,244.7
"A",35,35,"HYB1",4.23,3.73,10.87,82.22,0,0,0,0,0,0,68.33,158.95
"A",36,36,"HYB1",3.2,1.85,16.31,73.84,13.04,0,13.04,0,0,0,66.44,260.22
"A",37,37,"HYB1",6.01,3.67,58.87,51.1,39.96,0,39.96,0,0,0,48.61,293.15
"A",38,38,"HYB1",3.48,2.85,29.03,30,8.64,0,8.64,0,0,0,59.61,189.82
"A",39,39,"HYB1",5.58,3.49,59.88,31.41,0,0,0,0,0,0,62.39,170.76
"A",40,40,"MV2",0,0,0,0,0,595.5,0,50,311.2,0,129,820
"B",41,1,"HYB2",4,8,584,839,0,0,15.38,21.4,236,1404,27.2,51.04
"B",42,2,"HYB2",3.45,0,423,526,0,0,14.29,10.71,83,836,26.6,57.62
"B",43,3,"HYB2",6.25,0,791,578,6.25,0,5.88,65.88,256,852,21.42,54.41
"B",44,4,"HYB2",0,0,314,607,0,0,18.75,12.5,284,778,20.91,49.17
"B",45,5,"HYB2",0,0,717,962,0,0,15.38,27.69,256,1013,27.71,49.2
