"Rep","InoculationTime","OilContent"
"1","Seedling",34.4
"1","Early bloom",33.3
"1","Full bloom",34.4
"1","Full bloom (1/100)",36.8
"1","Ripening",36.3
"1","Uninoculated",36.4
"2","Seedling",35.9
"2","Early bloom",31.9
"2","Full bloom",34
"2","Full bloom (1/100)",36.6
"2","Ripening",34.9
"2","Uninoculated",37.3
"3","Seedling",36
"3","Early bloom",34.9
"3","Full bloom",34.5
"3","Full bloom (1/100)",37
"3","Ripening",35.9
"3","Uninoculated",37.7
"4","Seedling",34.1
"4","Early bloom",37.1
"4","Full bloom",33.1
"4","Full bloom (1/100)",36.4
"4","Ripening",37.1
"4","Uninoculated",36.7
