"Insecticide","Rep","GrainYield"
"Dol-Mix (1kg)","1",2537
"Dol-Mix (1kg)","2",2069
"Dol-Mix (1kg)","3",2104
"Dol-Mix (1kg)","4",1797
"Dol-Mix (2kg)","1",3366
"Dol-Mix (2kg)","2",2591
"Dol-Mix (2kg)","3",2211
"Dol-Mix (2kg)","4",2544
"DDT + phi-BHC","1",2536
"DDT + phi-BHC","2",2459
"DDT + phi-BHC","3",2827
"DDT + phi-BHC","4",2385
"Azodin","1",2387
"Azodin","2",2453
"Azodin","3",1556
"Azodin","4",2116
"Dimercon-Boom","1",1997
"Dimercon-Boom","2",1679
"Dimercon-Boom","3",1649
"Dimercon-Boom","4",1859
"Dimercon-Knap","1",1796
"Dimercon-Knap","2",1704
"Dimercon-Knap","3",1904
"Dimercon-Knap","4",1320
"Control","1",1401
"Control","2",1516
"Control","3",1270
"Control","4",1077
