"GENO","DTF","YIELD","PK","SBM","HI","PH","TILLER"
"1",95,99.6,64.34,347.5,0.31,81.67,109.72
"2",96,84.27,70.36,723.33,0.09,80.67,141.67
"3",98,141.75,60.65,683.89,0.17,97.11,124.07
"4",93,47.06,38.02,595.42,0.02,103.33,130.56
"5",91,53.37,31.55,583.06,0.08,97.83,95.83
"6",93,140.66,73.96,690,0.2,107,122.22
"7",93,94.55,62.25,595,0.09,73,150
"8",93,128.25,75.11,715.42,0.11,91.89,109.26
"9",93,67.67,59.89,403.33,0.13,90.67,116.67
"10",93,106.93,58.91,624.44,0.14,94.83,108.33
"11",93,262.52,70.67,657.22,0.29,95.44,101.85
"12",96,86.17,61.14,670.56,0.11,105.67,115.74
"13",93,94.82,50.48,551.11,0.15,109.67,125
"14",92,136.73,77.67,666.67,0.12,110.78,111.11
"15",88,23.61,33.97,539.44,0.04,92.67,102.78
"16",94,116.65,57.96,405.83,0.27,92.78,102.78
"17",94,100.31,32.29,3329.17,0.07,123.56,109.26
"18",94,121.75,51.11,2123.89,0.13,87.67,129.63
"19",90,113.55,49.82,675.56,0.15,92.22,97.22
"20",93,85.48,41.66,489.17,0.12,97.11,125.93
"21",91,79.82,41.35,566.11,0.14,95.56,116.67
"22",93,180.64,73.34,499.17,0.27,75.17,129.17
"23",92,114.38,59.96,765.83,0.13,107.89,81.48
"24",94,149.23,57.07,551.39,0.24,96.56,120.37
"25",93,301.25,57.24,565,0.26,103.67,104.63
"26",92,126.25,54.66,726.67,0.17,118.89,95.37
"27",93,146.38,62.91,503.33,0.24,77.67,101.39
"29",97,129,78.89,594.44,0.16,100.33,75
"30",95,123.28,63.36,705.56,0.15,116.67,105.56
"31",88,63.12,75.74,567.78,0.11,94.78,130.56
"32",95,198.31,73.4,760.28,0.23,116.22,97.22
"33",97,152.43,85.03,617.78,0.2,88.56,141.67
"34",93,70.15,59.16,590.83,0.08,93.11,90.74
"35",91,98.29,52.58,704.17,0.13,113.78,101.85
"36",94,146.42,41.73,725.56,0.14,113.67,108.33
"37",94,182.01,71.36,666.11,0.18,104.22,123.15
"38",92,36.6,56.21,772.5,0.06,114.83,126.39
"39",91,98.58,74.66,640.28,0.16,95.22,126.85
"40",92,124.21,61.24,494.17,0.2,61.33,87.5
"41",94,74.39,74.72,698.75,0.11,106,111.11
"42",94,156.25,62.3,799.17,0.2,104.17,108.33
"43",95,65.06,68.75,553.75,0.14,85.67,108.33
"44",93,139.13,62.9,599.58,0.23,112.67,112.04
"45",93,253.12,70.11,825.56,0.22,101.33,118.52
"46",97,130.75,85.43,580.56,0.18,79,97.22
"47",91,108.88,57.9,638.08,0.15,109.78,98.15
"48",97,331.22,87.81,611.67,0.35,91.89,127.31
"49",94,248.52,80.72,518.61,0.28,96.22,120.37
"50",93,110.19,71.87,616.94,0.15,116.78,107.41
"51",95,199.47,66.79,644.17,0.23,91.89,150.93
"52",92,130.32,50.95,508.06,0.21,92.33,101.85
"53",87,136.51,74.32,494.44,0.21,91.44,104.63
"54",93,55.15,65.43,671.67,0.07,87.33,98.15
"55",95,111.2,73.39,445.83,0.25,86.22,104.63
"56",91,139.56,57.74,440.56,0.22,89.89,95.37
"57",92,177.12,67.19,541.67,0.28,97.5,121.3
"58",90,84.57,63.91,635,0.1,82.33,100
"59",93,193.05,77.73,439.17,0.32,95.67,140.28
