"Block","Variety","Aluminum","RL","RE","RRE"
"I","Azucena112854","0",75.3,53.5,0.99
"II","Azucena112854","0",94.33,76.78,1
"I","Azucena47125","0",79.44,72.56,0.99
"II","Azucena47125","0",91,86.7,1
"I","Azucena52992","0",115.6,91,1
"II","Azucena52992","0",118.12,107.62,1
"I","Chadungda","0",86.5,54.3,1.01
"II","Chadungda","0",80,55.43,1
"I","IR20","0",61,29.4,1.01
"II","IR20","0",49,34.7,1
"I","IR64","0",69.2,56.7,0.99
"II","IR64","0",59.56,57.22,1
"I","IR74","0",78.67,63.89,1
"II","IR74","0",79.1,70.9,1
"I","Pokalli","0",112.4,96.7,1
"II","Pokalli","0",101,85.5,1
"I","Azucena112854","540",71.1,52.8,0.98
"II","Azucena112854","540",73.6,57.1,0.74
"I","Azucena47125","540",77.11,72.67,1
"II","Azucena47125","540",97.3,92,1.06
"I","Azucena52992","540",99.6,83.1,0.91
"II","Azucena52992","540",99,89,0.83
"I","Chadungda","540",66.33,36,0.67
"II","Chadungda","540",49.75,37.88,0.68
"I","IR20","540",70.7,43.5,1.5
"II","IR20","540",45.33,36.56,1.05
"I","IR64","540",71.1,64.2,1.13
"II","IR64","540",82.11,77.67,1.36
"I","IR74","540",93.1,82.8,1.29
"II","IR74","540",91.5,84.9,1.2
"I","Pokalli","540",97.1,70.7,0.73
"II","Pokalli","540",102.9,88.5,1.04
"I","Azucena112854","750",56.2,39.9,0.74
"II","Azucena112854","750",58,49.3,0.64
"I","Azucena47125","750",75.7,69,0.95
"II","Azucena47125","750",73.2,69.8,0.81
"I","Azucena52992","750",95.7,80,0.88
"II","Azucena52992","750",75.44,65.44,0.61
"I","Chadungda","750",48.9,25.2,0.47
"II","Chadungda","750",55.12,38.5,0.69
"I","IR20","750",45.89,25.89,0.89
"II","IR20","750",48.22,33.56,0.97
"I","IR64","750",60.4,55.2,0.97
"II","IR64","750",58.6,55.4,0.97
"I","IR74","750",72.8,64,1
"II","IR74","750",93.5,81.3,1.15
"I","Pokalli","750",79.6,53.2,0.55
"II","Pokalli","750",80.4,61.4,0.72
"I","Azucena112854","1300",31.38,18.75,0.35
"II","Azucena112854","1300",45.1,27.4,0.36
"I","Azucena47125","1300",59.75,55.5,0.76
"II","Azucena47125","1300",68.1,63.8,0.74
"I","Azucena52992","1300",70.71,58.86,0.65
"II","Azucena52992","1300",81,67,0.62
"I","Chadungda","1300",25.88,13.62,0.25
"II","Chadungda","1300",32.38,15,0.27
"I","IR20","1300",34.75,22.38,0.77
"II","IR20","1300",40.3,19.2,0.55
"I","IR64","1300",29,24.25,0.43
"II","IR64","1300",35.4,31.7,0.55
"I","IR74","1300",39,30.75,0.48
"II","IR74","1300",48.9,42.3,0.6
"I","Pokalli","1300",48,27.71,0.29
"II","Pokalli","1300",52.6,32,0.37
