"Block","Geno","X1","X2","X3","X4"
"1","1",50.2,20.5,3.9,104.9
"1","2",41.8,19.5,3.7,88
"1","3",39.2,19,4.5,80
"1","4",37.8,20,4.3,80.8
"1","5",35.6,20,4.1,60
"1","6",53.4,19.2,4.2,96.4
"1","7",43.8,19.5,4.3,91.4
"1","8",50.6,19.7,4.2,91.8
"2","1",41.4,20.6,4,84.3
"2","2",47.2,20.1,3.6,106.5
"2","3",37.6,18.5,4.6,71.3
"2","4",49.6,20.3,4.4,106.5
"2","5",31.4,20.8,4,52.5
"2","6",50.2,19.5,4.5,98.8
"2","7",46.8,20.4,4.3,99.7
"2","8",47.8,19.8,4,84.8
"3","1",36.2,20.5,3.8,77
"3","2",39.6,19.3,3.6,89.8
"3","3",38.8,18.1,4.6,77.5
"3","4",35.4,20.6,4.2,83.3
"3","5",33.2,20.3,4.2,53
"3","6",49.6,20.3,4.3,99.1
"3","7",41.4,20.7,4.2,83.3
"3","8",41.8,20.1,4.3,70
"4","1",39.8,19.6,3.9,76.5
"4","2",46.6,20.1,3.7,108.7
"4","3",33.6,19.3,4.7,69.5
"4","4",41.8,20.3,4.3,95.9
"4","5",29.8,19.9,4.1,51
"4","6",57.3,19.9,4.5,107.2
"4","7",43.6,20.3,4.3,89.5
"4","8",46.8,20.5,4.1,81.5
