"Entry","Code","GrainLength","GrainWidth","Flowering","PH","BladeCol","FlagLeaf","CulmAngle","AwnDistn","PanicleExrtn","PanicleAxis","InternodeCol","LodgingResist","Shattering","LeafSenscene","LeafLength","LeafWidth","CulmLength","CulmDiam","PanicleLength"
"118","1",7.9,2.9,88,88.6,5,3,3,0,7,3,1,7,5,7,5,5,2,0,3
"119","2",9.7,2.9,86,79.2,5,3,3,2,7,3,1,7,5,7,3,3,2,0,5
"709","3",9.5,3,92,83.2,5,3,3,2,7,3,1,7,5,7,5,5,2,0,5
"HHZ 10-DT12-LI1-LI1","4",9.9,2.3,90,102.2,3,1,3,1,9,3,2,7,3,5,3,5,3,1,5
"HHZ 11-DT10-SAL1-SUB1","5",9.3,2.2,96,97.6,3,1,1,0,9,3,2,7,3,7,5,5,3,1,5
"HHZ 11-DT7-SAL1-SAL1","6",9.3,2,90,103.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 11-SAL13-Y2-SUB1","7",9.7,2.1,96,103,3,1,1,0,9,3,2,7,3,7,5,5,3,1,5
"HHZ 11-Y10-DT3-Y3","8",9,2.1,90,101.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 11-Y6-Y2-SUB1","9",9.3,2.3,92,94,3,1,0,1,9,3,2,7,3,7,3,5,2,1,5
"HHZ 12-DT10-SAL1-DT1","10",9.5,1.9,86,99.2,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-SAL2-Y3-Y1","11",10.1,1.9,88,96.2,5,3,3,2,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-SAL2-Y3-Y2","12",8.9,2,87,107.8,5,3,3,0,9,3,2,5,5,5,5,5,3,1,5
"HHZ 12-SAL8-Y1-SAL1","13",8.7,1.9,87,99.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-SAL8-Y1-Y2","14",9.2,2,88,108.2,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-Y4-DT1-Y1","15",8.9,2,88,94.6,5,3,3,0,9,3,2,5,5,7,3,5,3,1,5
"HHZ 12-Y4-DT1-Y2","16",9,2,87,90.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-Y4-DT1-Y3","17",8.7,2,88,96.2,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 12-Y4-Y1-DT1","18",9,2,87,110.2,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 15-DT4-DT1-Y1","19",9.8,2,87,94.8,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 15-DT7-SAL4-SAL1","20",9.2,2,87,103.6,5,3,3,0,9,3,2,5,5,7,5,5,3,1,3
"HHZ 17-DT5-Y1-Y1","21",9.5,2.2,92,90.2,3,1,1,2,9,3,2,7,3,7,3,5,3,1,5
"HHZ 17-DT6-Y1-DT1","22",9.1,1.9,87,95,5,3,3,0,9,3,2,5,5,7,5,5,3,1,7
"HHZ 17-Y16-Y3-SAL1","23",10,2,87,103.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 17-Y16-Y3-Y1","24",9.5,2,86,100.2,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 17-Y16-Y3-Y2","25",9.8,2,82,96.4,5,3,3,0,9,3,2,5,5,7,5,5,3,1,7
"HHZ 1-DT13-Y2-Y1","26",8.9,2.7,92,86.2,3,1,1,2,9,3,2,7,3,5,5,5,2,0,5
"HHZ 21-Y4-Y2-Y1","27",9.5,2.3,92,90,3,1,1,1,9,3,2,7,3,7,3,5,2,1,5
"HHZ 25-DT9-Y1-Y1","28",8.4,2.5,92,92.8,3,1,1,0,9,3,2,7,3,7,5,5,3,1,5
"HHZ 2-Y3-Y1-Y1","29",9.2,2.2,96,98,3,1,1,3,9,3,2,7,3,7,5,3,3,1,5
"HHZ 3-DT5-Y1-Y1","30",9.7,2.3,92,94.8,3,1,1,3,9,3,2,7,3,7,3,5,3,1,5
"HHZ 4-SAL12-LI1-LI1","31",9.6,2.2,86,76,3,1,1,3,9,3,2,7,3,7,5,3,2,0,3
"HHZ 5-DT1-DT1","32",10.1,2,87,113.2,5,3,3,3,9,3,2,3,5,7,5,5,3,1,5
"HHZ 5-DT20-DT2-DT1","33",9.8,2.1,87,105,5,3,3,1,9,3,2,3,5,7,5,5,3,1,5
"HHZ 5-DT20-DT3-Y2","34",10.2,2.1,87,96.2,5,3,3,1,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-DT7-Y3-SAL1","35",10.1,2,87,103.6,5,3,3,4,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-SAL10-DT3-Y2","36",10.2,2,92,107.8,5,3,3,3,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-SAL12-DT3-Y2","37",10.1,2.1,88,110.4,5,3,3,3,9,3,2,3,5,7,5,5,3,1,5
"HHZ 5-SAL14-SAL2-Y1","38",9.4,2.1,88,96,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-SAL14-SAL2-Y2","39",9.7,2.1,88,93.6,7,3,3,0,9,3,2,5,5,7,5,5,2,1,5
"HHZ 5-SAL8-DT2-SAL1","40",10,2.1,86,105.4,5,3,3,1,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-SAL8-DT3-SUB1","41",9.8,2.4,86,85.4,3,1,1,3,9,3,2,7,3,7,3,3,2,0,3
"HHZ 5-Y3-SAL2-SUB1","42",10.4,2.1,92,102.4,5,3,3,4,9,3,2,3,5,7,5,5,3,1,5
"HHZ 5-Y3-Y1-DT1","43",10.2,2.2,96,116.2,5,3,3,0,9,3,2,3,5,7,5,5,4,1,5
"HHZ 5-Y4-SAL1-Y1","44",10,2,96,109.6,5,3,3,2,9,3,2,5,5,7,5,5,3,1,5
"HHZ 5-Y7-Y2-SAL1","45",9.3,2.3,93,86.2,3,1,1,0,9,3,2,7,3,7,3,5,2,0,5
"HHZ 5-Y7-Y2-SUB1","46",10,2.1,88,90.4,5,3,3,4,9,3,2,5,5,7,5,5,2,1,5
"HHZ 6-DT10-LI1-LI1","47",9.2,2.1,90,89.4,3,1,1,0,9,3,2,7,3,7,3,5,3,0,5
"HHZ 6-DT8-Y2","48",2.2,2.2,92,92.4,3,1,1,1,9,3,2,7,3,7,3,3,2,0,3
"HHZ 6-SAL16-LI1-LI1","49",8.6,2.2,96,88.8,3,1,1,2,9,3,2,7,3,7,3,5,2,0,3
"HHZ 8-DT10-SAL3-SUB1","50",9.2,2.2,92,111,3,1,1,0,9,3,2,7,3,7,5,5,4,0,7
"HHZ 8-SAL12-Y2-DT1","51",9.5,2,92,95,5,3,3,1,9,3,2,3,5,7,5,5,3,1,5
"HHZ 8-SAL12-Y2-DT1","52",9.6,2.2,92,93.8,3,1,3,1,9,3,2,7,3,7,3,5,3,0,5
"HHZ 8-SAL14-SAL1-SUB1","53",10.4,2.2,87,98.2,5,3,3,0,9,3,2,3,5,7,5,5,3,1,5
"HHZ 8-SAL14-SAL3-Y2","54",10.2,2.1,87,104.2,5,3,3,2,9,3,2,5,5,5,5,5,3,1,5
"HHZ 8-SAL6-SAL3-SAL1","55",9.4,2,82,95,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 8-SAL6-SAL3-Y1","56",9.7,1.9,82,101.4,5,3,3,0,9,3,2,3,5,7,5,5,3,1,5
"HHZ 8-SAL6-SAL3-Y2","57",9.5,2.1,86,90,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 8-SAL9-DT2-Y2","58",9.5,2.1,86,100,5,3,3,0,9,3,2,3,5,7,5,5,3,1,5
"HHZ 8-Y1-DT3-SUB1","59",9.6,2.3,90,95.4,3,1,3,1,9,3,2,7,3,7,5,5,3,1,5
"HHZ 8-Y7-DT2-SAL1","60",10.3,2,87,106,5,3,3,3,9,3,2,3,5,5,5,5,3,1,7
"HHZ 9-DT12-DT1-SUB1","61",9.5,2,88,91.8,5,3,3,0,9,3,2,5,5,7,5,5,3,1,5
"HHZ 9-SAL9-Y3-SUB1","62",9,2,96,101.6,3,1,3,0,9,3,2,7,3,7,5,5,3,1,3
"HHZ5-SAL10-DT1-DT1","63",10.2,2.1,88,110.6,5,3,3,2,9,3,2,5,5,7,5,5,3,1,5
"IR 83140-B-11-B","64",8.8,2.4,88,95.4,5,3,3,2,7,3,1,7,5,7,5,5,2,0,3
"IR 83140-B-36-B","65",9.8,2.9,84,94.4,5,3,3,2,7,3,1,7,5,7,5,5,3,0,5
"IR 83141-B-17-B","66",9.9,2.9,84,99.8,5,3,3,2,7,3,1,7,5,7,5,5,3,0,3
"IR 83141-B-18-B","67",9.8,2.8,83,96.6,5,3,3,2,7,3,1,7,5,7,5,5,3,0,3
"IR 83141-B-32-B","68",10.4,2.7,83,91.8,5,3,3,2,7,3,1,7,5,7,5,5,2,0,3
"IR 83142-B-19-B","69",9.6,2.8,83,95.8,5,3,3,0,7,3,1,7,5,7,5,5,2,0,3
"IR 83142-B-21-B","70",9.6,2.8,82,96.8,5,3,3,0,7,3,1,7,5,7,5,5,3,0,3
"IR 83142-B-57-B","71",10.2,2.7,82,89.8,5,3,3,0,7,3,1,7,5,7,5,5,2,0,3
"IR 83142-B-60-B","72",9.3,2.7,88,101.2,5,3,3,0,7,3,1,7,5,7,5,5,3,0,3
"IR 83142-B-61-B","73",10.4,2.7,82,95,5,3,3,0,7,3,1,7,5,7,5,5,3,0,3
"IR 84678-25-5-B","74",9.3,2.6,88,84.2,5,3,3,3,7,3,1,7,5,7,5,5,2,1,3
