"Variety","Rep","WhiteHeads"
"IR5","1",1.39
"IR20-1","1",8.43
"C4-63G","1",7.58
"C168-134","1",8.95
"BPI-76","1",4.16
"MRC407-1","1",4.68
"PARC 2-2","1",2.37
"TN1","1",0.95
"Rexoro","1",26.09
"Luma-1","1",26.39
"IR127-80-1","1",21.99
"IR1108-3-5","1",3.58
"IR1561-228-3-3","1",0.19
"IR2061-464-2","1",0
"IR5","2",0.92
"IR20-1","2",4.38
"C4-63G","2",3.79
"C168-134","2",12.81
"BPI-76","2",17.39
"MRC407-1","2",1.32
"PARC 2-2","2",5.32
"TN1","2",0.7
"Rexoro","2",25.36
"Luma-1","2",22.29
"IR127-80-1","2",12.88
"IR1108-3-5","2",2.62
"IR1561-228-3-3","2",0
"IR2061-464-2","2",3.64
"IR5","3",2.63
"IR20-1","3",6.94
"C4-63G","3",1.91
"C168-134","3",3.22
"BPI-76","3",8.06
"MRC407-1","3",2.09
"PARC 2-2","3",4.86
"TN1","3",0.98
"Rexoro","3",15.69
"Luma-1","3",1.98
"IR127-80-1","3",5.15
"IR1108-3-5","3",2.91
"IR1561-228-3-3","3",0.61
"IR2061-464-2","3",4.44
