"YEAR","TREAT","REPS","GRNYLD"
"1995","CONTROL","1",1.2
"1995","CONTROL","2",1.6
"1995","CONTROL","3",1.5
"1995","FYM","1",1.9
"1995","FYM","2",1.9
"1995","FYM","3",2.1
"1995","NP","1",3.1
"1995","NP","2",4
"1995","NP","3",3.9
"1995","NP+FYM","1",3.8
"1995","NP+FYM","2",4.2
"1995","NP+FYM","3",4.1
"1995","NPK","1",3.8
"1995","NPK","2",2.8
"1995","NPK","3",2.9
"1995","CR","1",3.9
"1995","CR","2",4.1
"1995","CR","3",3.6
"1996","CONTROL","1",0.6
"1996","CONTROL","2",0.3
"1996","CONTROL","3",0.3
"1996","FYM","1",0.6
"1996","FYM","2",1.1
"1996","FYM","3",0.3
"1996","NP","1",1
"1996","NP","2",1.4
"1996","NP","3",1.4
"1996","NP+FYM","1",1.5
"1996","NP+FYM","2",2
"1996","NP+FYM","3",1.6
"1996","NPK","1",1.8
"1996","NPK","2",1.3
"1996","NPK","3",1.2
"1996","CR","1",1.3
"1996","CR","2",2.9
"1996","CR","3",1.6
