"CTRY","Env","Year","Geno","Block","Yield"
"CIV","MB MBE    ",94,"AZU","1",0.667
"CIV","MB MBE    ",94,"AZU","2",0.958
"CIV","MB MBE    ",94,"AZU","3",0.39
"CIV","MB MBE    ",94,"AZU","4",0.936
"CIV","MB MBE    ",94,"BGORA","1",1.329
"CIV","MB MBE    ",94,"BGORA","2",1.96
"CIV","MB MBE    ",94,"BGORA","3",2.087
"CIV","MB MBE    ",94,"BGORA","4",0.935
"CIV","MB MBE    ",94,"GUAR","1",2.173
"CIV","MB MBE    ",94,"GUAR","2",3.225
"CIV","MB MBE    ",94,"GUAR","3",1.765
"CIV","MB MBE    ",94,"GUAR","4",2.097
"CIV","MB MBE    ",94,"IT146","1",2.692
"CIV","MB MBE    ",94,"IT146","2",3.294
"CIV","MB MBE    ",94,"IT146","3",3.62
"CIV","MB MBE    ",94,"IT146","4",1.522
"CIV","MB MBE    ",94,"OL5","1",2.5
"CIV","MB MBE    ",94,"OL5","2",2.776
"CIV","MB MBE    ",94,"OL5","3",2.431
"CIV","MB MBE    ",94,"OL5","4",1.95
"CIV","MB MBE    ",94,"OS6","1",0.136
"CIV","MB MBE    ",94,"OS6","2",0.365
"CIV","MB MBE    ",94,"OS6","3",NA
"CIV","MB MBE    ",94,"OS6","4",0.03
"CIV","MB MBE    ",94,"UPL5","1",0.117
"CIV","MB MBE    ",94,"UPL5","2",1.888
"CIV","MB MBE    ",94,"UPL5","3",0.024
"CIV","MB MBE    ",94,"UPL5","4",0.501
"CIV","MB MBE    ",94,"VAND","1",2.816
"CIV","MB MBE    ",94,"VAND","2",2.335
"CIV","MB MBE    ",94,"VAND","3",2.895
"CIV","MB MBE    ",94,"VAND","4",1.585
"CIV","MB MBE    ",94,"W181-18","1",2.252
"CIV","MB MBE    ",94,"W181-18","2",2.116
"CIV","MB MBE    ",94,"W181-18","3",2.866
"CIV","MB MBE    ",94,"W181-18","4",1.775
"CIV","MB MBE    ",94,"W56-125","1",2.233
"CIV","MB MBE    ",94,"W56-125","2",2.028
"CIV","MB MBE    ",94,"W56-125","3",3.312
"CIV","MB MBE    ",94,"W56-125","4",3.075
"CIV","MB MBE    ",94,"W56-50","1",2.943
"CIV","MB MBE    ",94,"W56-50","2",3.095
"CIV","MB MBE    ",94,"W56-50","3",2.7
"CIV","MB MBE    ",94,"W56-50","4",2.805
"CIV","MB MBE    ",94,"W96-1-1","1",0.733
"CIV","MB MBE    ",94,"W96-1-1","2",0.91
"CIV","MB MBE    ",94,"W96-1-1","3",1.055
"CIV","MB MBE    ",94,"W96-1-1","4",1.306
"CIV","MA MAN     ",94,"AZU","1",0.647
"CIV","MA MAN     ",94,"AZU","2",0.695
"CIV","MA MAN     ",94,"AZU","3",1.527
"CIV","MA MAN     ",94,"AZU","4",1.51
"CIV","MA MAN     ",94,"BGORA","1",1.318
"CIV","MA MAN     ",94,"BGORA","2",0.768
"CIV","MA MAN     ",94,"BGORA","3",0.496
"CIV","MA MAN     ",94,"BGORA","4",0.418
"CIV","MA MAN     ",94,"GUAR","1",1.274
"CIV","MA MAN     ",94,"GUAR","2",0.879
"CIV","MA MAN     ",94,"GUAR","3",1.672
"CIV","MA MAN     ",94,"GUAR","4",1.632
"CIV","MA MAN     ",94,"IT146","1",0.439
"CIV","MA MAN     ",94,"IT146","2",0.397
"CIV","MA MAN     ",94,"IT146","3",0.502
"CIV","MA MAN     ",94,"IT146","4",0.648
"CIV","MA MAN     ",94,"OL5","1",1
"CIV","MA MAN     ",94,"OL5","2",1.718
"CIV","MA MAN     ",94,"OL5","3",2.133
"CIV","MA MAN     ",94,"OL5","4",1.318
"CIV","MA MAN     ",94,"OS6","1",1.838
"CIV","MA MAN     ",94,"OS6","2",2.31
"CIV","MA MAN     ",94,"OS6","3",2.915
"CIV","MA MAN     ",94,"OS6","4",2.912
"CIV","MA MAN     ",94,"UPL5","1",2.15
"CIV","MA MAN     ",94,"UPL5","2",1.902
"CIV","MA MAN     ",94,"UPL5","3",2.386
"CIV","MA MAN     ",94,"UPL5","4",2.16
"CIV","MA MAN     ",94,"VAND","1",1.199
"CIV","MA MAN     ",94,"VAND","2",1.61
"CIV","MA MAN     ",94,"VAND","3",0.475
"CIV","MA MAN     ",94,"VAND","4",0.868
"CIV","MA MAN     ",94,"W181-18","1",0.798
"CIV","MA MAN     ",94,"W181-18","2",0.586
"CIV","MA MAN     ",94,"W181-18","3",0.711
"CIV","MA MAN     ",94,"W181-18","4",0.711
"CIV","MA MAN     ",94,"W56-125","1",1.557
"CIV","MA MAN     ",94,"W56-125","2",1.758
"CIV","MA MAN     ",94,"W56-125","3",1.88
"CIV","MA MAN     ",94,"W56-125","4",2.085
"CIV","MA MAN     ",94,"W56-50","1",1.678
"CIV","MA MAN     ",94,"W56-50","2",1.492
"CIV","MA MAN     ",94,"W56-50","3",2.207
"CIV","MA MAN     ",94,"W56-50","4",1.578
"CIV","MA MAN     ",94,"W96-1-1","1",0.97
