"REP","VARIETY","NITROGEN","YLD"
"1","V1","N0",3.582
"1","V1","N1",4.788
"1","V1","N2",4.576
"1","V1","N3",6.034
"1","V1","N4",5.874
"1","V2","N0",2.846
"1","V2","N1",4.956
"1","V2","N2",5.928
"1","V2","N3",5.644
"1","V2","N4",5.458
"1","V3","N0",4.192
"1","V3","N1",5.25
"1","V3","N2",5.822
"1","V3","N3",5.888
"1","V3","N4",5.864
"2","V1","N0",2.606
"2","V1","N1",4.936
"2","V1","N2",4.454
"2","V1","N3",5.276
"2","V1","N4",5.916
"2","V2","N0",3.794
"2","V2","N1",5.128
"2","V2","N2",5.698
"2","V2","N3",5.362
"2","V2","N4",5.546
"2","V3","N0",3.754
"2","V3","N1",4.582
"2","V3","N2",4.848
"2","V3","N3",5.524
"2","V3","N4",6.264
"3","V1","N0",3.144
"3","V1","N1",4.562
"3","V1","N2",4.884
"3","V1","N3",5.906
"3","V1","N4",5.984
"3","V2","N0",4.108
"3","V2","N1",4.15
"3","V2","N2",5.81
"3","V2","N3",6.458
"3","V2","N4",5.786
"3","V3","N0",3.738
"3","V3","N1",4.896
"3","V3","N2",5.678
"3","V3","N3",6.042
"3","V3","N4",6.056
"4","V1","N0",2.894
"4","V1","N1",4.608
"4","V1","N2",3.924
"4","V1","N3",5.652
"4","V1","N4",5.518
"4","V2","N0",3.444
"4","V2","N1",4.99
"4","V2","N2",4.308
"4","V2","N3",5.474
"4","V2","N4",5.932
"4","V3","N0",3.428
"4","V3","N1",4.286
"4","V3","N2",4.932
"4","V3","N3",4.756
"4","V3","N4",5.362
