"Env","Rep","Block","Plot","Geno","Yield"
"UDS02-6","1","1",1,"IR71524-44-1-1",0.25
"UDS02-6","1","1",2,"UPLRI-5",0.5
"UDS02-6","1","1",3,"IR60080-46A",11.11
"UDS02-6","1","1",4,"PSBRC80",6.81
"UDS02-6","1","1",5,"IRAT216",6.67
"UDS02-6","1","1",6,"IR55423-01",9.69
"UDS02-6","1","1",7,"CT6510-24-1-2",15.56
"UDS02-6","1","1",8,"IR47686-30-3-2",0.84
"UDS02-6","1","1",9,"IR66421-062-1-1-",13.33
"UDS02-6","1","1",10,"IR66424-1-2-1-5",82.22
"UDS02-6","1","1",11,"DINORADO",6.36
"UDS02-6","1","2",12,"IRAT177",22.22
"UDS02-6","1","2",13,"CT13377-4-2-M",73.33
"UDS02-6","1","2",14,"PRIMAVERA",135.56
"UDS02-6","1","2",15,"B6144F-MR-6-0-0",33.33
"UDS02-6","1","2",16,"CT13382-8-3-M",24.44
"UDS02-6","1","2",17,"CT6516-24-3-2",37.78
"UDS02-6","1","2",18,"IR72",22.22
"UDS02-6","1","2",19,"AZUCENA",2.31
"UDS02-6","1","2",20,"IR65907-116-1-B",8.89
"UDS02-6","1","2",21,"IRAT212",17.78
"UDS02-6","1","2",22,"UPLRI-7",1.14
"UDS02-6","1","3",23,"WAB181-18",2.22
"UDS02-6","1","3",24,"IR65261-09-1-B",2.22
"UDS02-6","1","3",25,"IR72768-15-1-1",62.22
"UDS02-6","1","3",26,"IR55419-04",115.56
"UDS02-6","1","3",27,"WAB638-1",0.05
"UDS02-6","1","3",28,"PSBRC82",6.67
"UDS02-6","1","3",29,"IRAT170",0.34
"UDS02-6","1","3",30,"MARAVILHA",0.22
"UDS02-6","1","3",31,"IR71525-19-1-1",2.22
"UDS02-6","1","3",32,"PALAWAN",0.18
"UDS02-6","1","3",33,"WAB96-1-1",4.44
"UDS02-6","1","4",34,"WAYRAREM",11.11
"UDS02-6","1","4",35,"IR64",33.33
"UDS02-6","1","4",36,"IR70358-84-1-1",84.44
"UDS02-6","1","4",37,"WAB56-125",62.22
"UDS02-6","1","4",38,"AUS196",17.78
"UDS02-6","1","4",39,"CT13370-12-2-M",6.67
"UDS02-6","1","4",40,"IR66417-18-1-1-1",5.7
"UDS02-6","1","4",41,"IR70360-38-1-B-1",24.44
"UDS02-6","1","4",42,"IR68702-072-1-4-",75.56
"UDS02-6","1","4",43,"VANDANA",55.56
"UDS02-6","1","4",44,"C22",1.71
"UDS02-6","2","1",45,"B6144F-MR-6-0-0",33.33
"UDS02-6","2","1",46,"IR72768-15-1-1",64.44
"UDS02-6","2","1",47,"IR66417-18-1-1-1",4.79
"UDS02-6","2","1",48,"IR65907-116-1-B",24.44
